gene	intron	splicingRate	cleavageRate	tau	fracSplicedCT
AAAS	(53701917, 53702065)	0.4049258	1.166051	0.21287778054445128	0.6809445021196052
AAAS	(53702312, 53702508)	0.19073697	1.166051	0.32704830933524054	0.8074472937764854
AAAS	(53702599, 53702743)	1.7372675	1.166051	0.38761281106398826	0.20482102988422296
AAAS	(53702804, 53702940)	2.4976089999999997	1.166051	0.4383839040025559	0.10648497265846288
AAAS	(53708225, 53708534)	3.6374765	1.166051	2.1267246178043555	0.00010604590019968075
AAAS	(53708633, 53708877)	0.5718909999999999	1.166051	2.2537356211306303	0.18489448897892033
AAAS	(53708924, 53709118)	1.193777	1.166051	2.3429765884823284	0.030138330716433355
AAAS	(53709210, 53709510)	0.7932525	1.166051	2.488132020855214	0.08268780301217415
AAAS	(53714476, 53715126)	0.31231295000000003	1.166051	4.567705766279003	0.18940515643682354
AACS	(125550263, 125558421)	0.5655410000000001	1.0764385	7.4232107578767215	0.009849105355319214
AACS	(125558525, 125561036)	0.6940875	1.0764385	7.030212406446585	0.004620735790136635
AACS	(125561157, 125570875)	4.445905	1.0764385	5.551546716304664	3.721874359548762e-12
AACS	(125570989, 125575971)	0.69051	1.0764385	4.785688361089375	0.02236715231024489
AADAC	(151532088, 151535153)	0.03593265	0.08416665000000001	3.938232918542079	0.6083339526096847
AADAC	(151535376, 151538170)	0.02541335	0.08416665000000001	2.4154578534873004	0.7223532528093569
AADAC	(151538240, 151542450)	0.008069815000000001	0.08416665000000001	0.4437145029501508	0.9092479195492996
AAK1	(69732805, 69734552)	0.064986	0.0834522	7.0231027949050855	0.35618748076655854
AAK1	(69734710, 69736362)	0.02727205	0.0834522	7.280291644069056	0.6179687796736948
AAK1	(69746372, 69747965)	0.10407430000000001	0.0834522	8.929000051168224	0.17570908354855747
AAK1	(69748120, 69752164)	0.06630985	0.0834522	9.52564976257126	0.29628954942908386
AAK1	(69752244, 69754347)	0.00731209	0.0834522	9.83583940772316	0.8556340923502158
AAK1	(69754451, 69757139)	0.0128283	0.0834522	10.232563864555091	0.7601357887452574
AAK1	(69757272, 69757756)	0.02218635	0.0834522	10.32023542252977	0.6283124503812563
AAK1	(69757838, 69759172)	0.00809552	0.0834522	10.521439516682355	0.8371409048407003
AAK1	(69759294, 69769654)	0.0485768	0.0834522	12.010861349244065	0.35267906772661844
AAK1	(69769797, 69771567)	0.0759697	0.0834522	12.282685806951616	0.2058943532122381
AAK1	(69771676, 69783991)	0.137343	0.0834522	14.078210787989102	0.0546664410789586
AAK1	(69784110, 69870009)	0.2568395	0.0834522	38.12838492843446	1.3696030673934933e-05
AARS2	(44268448, 44268892)	0.0734114	0.16757650000000002	0.3625821178678037	0.6771080468812037
AARS2	(44269201, 44269796)	0.125336	0.16757650000000002	0.4974686341445502	0.5375224809058541
AARS2	(44272270, 44272381)	3.8252819999999996	0.16757650000000002	0.8831784179668842	0.0014312183405617526
AARS2	(44272935, 44273389)	0.090997	0.16757650000000002	1.033582852045381	0.5899054780628696
AARS2	(44273523, 44274016)	0.124805	0.16757650000000002	1.1271379911001596	0.49793190416099525
AARS2	(44278180, 44278730)	0.05628775	0.16757650000000002	3.536107931026299	0.6134604781892524
AARS2	(44278898, 44279126)	0.1984395	0.16757650000000002	4.061273974622217	0.2045067571473033
AARS2	(44279272, 44279808)	0.0463122	0.16757650000000002	4.965726605259633	0.6225137599584399
AARSD1	(41113368, 41116122)	0.12183340000000001	0.2294235	6.680745232148461	0.28941717195268046
AARS	(70304243, 70305683)	4.06914	0.492868	2.4950933805042954	4.209523729341577e-06
AARS	(70310534, 70310868)	4.048819999999999	0.492868	3.5752868683184804	5.607893323663508e-08
AASDHPPT	(105948620, 105950193)	0.04766015	0.1859575	6.217919523227532	0.5918425580013584
AASDHPPT	(105950419, 105961283)	0.02824	0.1859575	2.092412686114888	0.8183459844848123
AASDHPPT	(105961405, 105962042)	0.008958435	0.1859575	1.868474200990971	0.9382031132731401
AASDHPPT	(105962204, 105965309)	0.01574236	0.1859575	1.013874221223288	0.9073533072031229
AASDHPPT	(105965381, 105967469)	0.01570964	0.1859575	0.48103521444900554	0.915159187404536
AATF	(35306516, 35307513)	0.07494265	0.1859575	31.252781352860985	0.0685092936942172
AATF	(35307705, 35310185)	0.11860399999999999	0.1859575	29.388826498450925	0.01870457257581391
AATF	(35310596, 35311069)	0.0880528	0.1859575	28.77215879961167	0.05387349379813785
AATF	(35311207, 35343915)	0.0574546	0.1859575	17.900363028214333	0.27316044757404045
AATF	(35344030, 35345817)	0.08098269999999999	0.1859575	17.23011558940253	0.17258804066585792
AATF	(35346019, 35346545)	0.08808075	0.1859575	16.97357503448403	0.1521642481781052
AATF	(35346710, 35348072)	0.062378	0.1859575	16.480799079414254	0.2678570633390221
AATF	(35348156, 35376303)	0.05054955	0.1859575	10.660677396619619	0.45870301277559594
AATF	(35376371, 35378232)	0.0200627	0.1859575	10.214560701834364	0.7353654177959118
